#Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (*)
1,0.0006484923843611152,-10.49361229100068,-109.339339239652
1.079775162327709,-0.001323457283628427,-9.909741297196371,-110.6074267591619
1.165914401179831,0.0005105069082430765,-9.337377510763675,-111.9642048452662
1.258925411794166,0.0005368180931402826,-8.774726591193925,-113.4078656357559
1.359356390878524,0.000310511516071555,-8.226235065925735,-114.925402768733
1.467799267622071,-3.106878411531782e-05,-7.691017989364541,-116.5217525902707
1.584893192461114,-0.0002791004659656645,-7.169893568061712,-118.1855397412148
1.711328304161781,-0.0002501397236803639,-6.66440580490881,-119.9272497210638
1.847849797422291,-0.0007319693583650087,-6.176230377178764,-121.7324314245041
1.995262314968883,-0.0008528382957388834,-5.707987980409159,-123.5965064977381
2.154434690031882,-0.0008911855478953029,-5.260199128601392,-125.5148056724431
2.326305067153629,-0.001509171116919779,-4.83136952596345,-127.4793257261144
2.511886431509577,-0.001630700254040756,-4.424866412007428,-129.4823936128954
2.712272579332029,-0.00182194375169761,-4.039982585090368,-131.5141282239273
2.928644564625237,-0.001898820351038769,-3.678224454689333,-133.5627931716238
3.16227766016838,-0.002250426817669429,-3.340335096864474,-135.6207854757371
3.414548873833601,-0.002440471718057869,-3.024491895768139,-137.6735029914984
3.686945064519574,-0.002677069733035883,-2.732460663699898,-139.7147074161655
3.98107170553497,-0.002840660727596703,-2.462098670981082,-141.7306979643627
4.298662347082281,-0.003292914504967703,-2.213699723848309,-143.7129070816239
4.641588833612772,-0.003426409369325105,-1.986396504738114,-145.6571489343647
5.011872336272726,-0.003703379500009774,-1.779459056562737,-147.5502799245219
5.411695265464638,-0.003957019973866038,-1.591026334514595,-149.3905800312274
5.843414133735175,-0.003920366662063796,-1.420590893037372,-151.1679553553753
6.309573444801929,-0.00415445211557754,-1.267095570226964,-152.881100928586
6.812920690579609,-0.004333314177673103,-1.129065262039443,-154.5261582492239
7.356422544596422,-0.004635109059764101,-1.005394766542137,-156.1015578266778
7.943282347242806,-0.004880895077017793,-0.894082006215807,-157.5998328973088
8.576958985908945,-0.004870688818316366,-0.7952244556290499,-159.0280417499716
9.261187281287937,-0.005080051575261165,-0.7070057440447907,-160.3839391537164
10,-0.00539931441128221,-0.6288628676685538,-161.6677709098947
10.79775162327709,-0.005404751011969023,-0.5597487335278655,-162.8838925335365
11.65914401179832,-0.005368179233263696,-0.4980308758914353,-164.0265939644032
12.58925411794166,-0.005464235484340701,-0.4434782101405456,-165.1071214545365
13.59356390878525,-0.005572263744860351,-0.3959399381186484,-166.1150533555361
14.67799267622071,-0.005326952721094441,-0.3533668893210944,-167.0692072226283
15.84893192461114,-0.005551665391330484,-0.3156872071477222,-167.9625598635677
17.11328304161781,-0.005572995424817203,-0.2831464921012802,-168.799199686764
18.47849797422293,-0.005521256759575228,-0.2542397798707989,-169.5809502343542
19.95262314968879,-0.005498577577228637,-0.2286168311219634,-170.3165393595534
21.54434690031882,-0.005586300876577662,-0.205833491298633,-170.9994378346805
23.26305067153626,-0.00559768950900668,-0.1859719387650048,-171.6386995474392
25.11886431509582,-0.005734772260300318,-0.1685375447676909,-172.2347492740408
27.12272579332027,-0.00560186943027491,-0.1531342996082794,-172.7962580352267
29.28644564625237,-0.005790890382047487,-0.1386696725587196,-173.3083468548747
31.62277660168379,-0.005789872535090257,-0.1271144073306351,-173.7978228046984
34.14548873833601,-0.005675594482737599,-0.11657251187016,-174.2482678922225
36.86945064519577,-0.005879393625732659,-0.1066151403497084,-174.6720193374101
39.81071705534978,-0.005986694673167516,-0.09780830915515035,-175.0654772758079
42.98662347082277,-0.005808367388390987,-0.09033198790183196,-175.4347063770021
46.41588833612772,-0.00580872856876004,-0.0836327695641029,-175.7804616530095
50.11872336272725,-0.006159706688431244,-0.07716545660896229,-176.095349933067
54.11695265464638,-0.006014643173070523,-0.07188911192079263,-176.4001437650161
58.43414133735175,-0.005906596744384776,-0.06675211146698391,-176.6796265563543
63.0957344480193,-0.005784117096055834,-0.06237622614692359,-176.9461229599323
68.12920690579615,-0.005668892928191635,-0.05921664967180614,-177.1952492472701
73.56422544596407,-0.005922378924282949,-0.05545270412223798,-177.4276313319159
79.43282347242813,-0.00586813930035927,-0.05167200590655585,-177.6478397870025
85.76958985908946,-0.005862232995657991,-0.0488671701606412,-177.8503569377637
92.61187281287938,-0.006090084588760486,-0.04531451982906243,-178.049856617218
100,-0.005894885164846393,-0.04431087456093652,-178.233726578923
107.9775162327711,-0.006084160026031626,-0.04059497797012979,-178.4119823947699
116.5914401179831,-0.005980476905389251,-0.03760718191509116,-178.5722516700018
125.8925411794166,-0.005914072384318758,-0.03686447552480136,-178.740392418142
135.9356390878527,-0.006070663084022247,-0.03530882870062846,-178.902461393418
146.7799267622071,-0.006258072692520673,-0.03396917395304577,-179.0456887944127
158.4893192461113,-0.006174347853311361,-0.03224245286085722,-179.1951408966549
171.1328304161781,-0.00587376052931283,-0.03128024748647418,-179.3405128450294
184.7849797422291,-0.005852533181255877,-0.02991569863411021,-179.4717112911242
199.5262314968879,-0.006004166200834636,-0.02802053619784678,-179.6156157968223
215.4434690031884,-0.006113456379801441,-0.02761582722813493,-179.7442263343533
232.6305067153629,-0.006106711163088977,-0.02639362734061167,-179.8761301443313
251.1886431509579,-0.006210908616175087,-0.02749836273430083,179.9943313682147
271.227257933203,-0.006283097212845042,-0.02603785569543693,179.853558264739
292.8644564625237,-0.006186882072844617,-0.0257215090887004,179.7228698183933
316.227766016838,-0.006533497208059777,-0.02510956183423819,179.5913809152749
341.4548873833604,-0.006347120252921689,-0.02471587188022973,179.4466574786899
368.6945064519574,-0.00641603302289134,-0.02492721596146925,179.3114025028265
398.1071705534973,-0.006392815958402724,-0.0251368372222032,179.1611579727387
429.8662347082272,-0.006524968947984064,-0.02600566382550123,179.0126366204293
464.1588833612777,-0.005855158395378037,-0.02687443303095977,178.8512753297095
501.1872336272725,-0.00645158614814059,-0.02623393252513644,178.6914747020508
541.1695265464638,-0.006480193181906681,-0.02727638964823261,178.517423225227
584.3414133735175,-0.005883618700359835,-0.02799783470330678,178.3356025890313
630.9573444801937,-0.005971437591408324,-0.02885394237078513,178.1482859343221
681.2920690579608,-0.006192774244903483,-0.0292418709579655,177.9441832233459
735.6422544596413,-0.006059738432714025,-0.03107687282164484,177.7269482766201
794.3282347242814,-0.005891520717064362,-0.03221526571052236,177.5002053928789
857.6958985908946,-0.006720040130752842,-0.03424635790438517,177.2561009226261
926.1187281287938,-0.006506714446821035,-0.03662492121487573,177.0032169953441
1000,-0.005473694304466587,-0.03946960809142641,176.7260112526322
1079.77516232771,-0.005683414467204292,-0.04168372061402886,176.4325033643286
1165.914401179831,-0.005545882020855592,-0.04502797270019955,176.1196003617235
1258.925411794168,-0.005601080744688738,-0.0493845237045082,175.7859782434623
1359.356390878526,-0.006221983085161257,-0.05360557860981115,175.4229414609742
1467.799267622069,-0.005521593139628118,-0.05923767640035384,175.0324391267046
1584.893192461114,-0.005040850320493164,-0.06462316743130826,174.6159478385324
1711.328304161779,-0.004680940480331341,-0.073075443392655,174.1729501005125
1847.849797422291,-0.005147981651514632,-0.08095581891886179,173.6894418966004
1995.262314968881,-0.004050138337035652,-0.09052516168736774,173.182498582288
2154.434690031882,-0.005219318539375351,-0.1022100325973821,172.6314125382125
2326.305067153626,-0.004436232308197115,-0.1148687608230387,172.0317391685856
2511.886431509582,-0.003772947164166942,-0.129310663410022,171.3946010314207
2712.272579332027,-0.002311519342536504,-0.1471458097444151,170.7128233118521
2928.644564625237,-0.002544431486269151,-0.1672676824188493,169.9783533684435
3162.277660168378,-0.002848566349924302,-0.1900891257327939,169.1874568641683
3414.5488738336,-0.001624518074194181,-0.2166709966781365,168.3420674210573
3686.945064519577,-0.0006169910184817844,-0.2479514272904987,167.4408967814932
3981.071705534971,-0.0008223557411762558,-0.2814296205118397,166.4781874979619
4298.662347082276,0.0008734063675574555,-0.3229799419724655,165.4587374249159
4641.588833612777,-0.0009512772375748677,-0.3670063103803262,164.352332739965
5011.872336272722,0.001943589004437165,-0.4215107182817943,163.1747799449863
5411.695265464637,-0.001605618000434373,-0.4821742390630426,161.9188938962334
5843.414133735176,0.004726509055412687,-0.5517900493984239,160.5855230377426
6309.573444801933,0.00584341085696734,-0.6319178970396535,159.1775626572854
6812.920690579615,0.007645697827326714,-0.7214917368971581,157.6869777286421
7356.422544596414,0.008007937317323608,-0.8246920382202212,156.1134817680428
7943.282347242818,0.01032126847217942,-0.940927433834382,154.4585265638034
8576.958985908937,0.0115064464574335,-1.071424960679449,152.7233419840005
9261.187281287937,0.0119004045658891,-1.219263590240123,150.9074756761641
10000.00000000001,0.01028599032173895,-1.383447691080409,149.0197414290666
10797.75162327709,0.01526735356969371,-1.567104323109032,147.0548103917462
11659.14401179832,0.01770253108836818,-1.772104130353236,145.0433418561833
12589.25411794166,0.002040411775857748,-1.996943973574861,142.9723936347533
13593.56390878526,0.01954012842602561,-2.245309008652727,140.8428824561221
14677.9926762207,0.020905324692375,-2.516942041816678,138.6939543580606
15848.93192461113,0.02213560802686353,-2.811781607957577,136.5159766088407
17113.28304161781,0.02545634335342287,-3.13207296515184,134.3239747038092
18478.49797422292,0.02321152143767054,-3.474093976410292,132.1375947252748
19952.62314968879,0.02571245389427482,-3.841759497247248,129.9500057784535
21544.34690031884,0.02765639145595608,-4.231177473717763,127.7855877059001
23263.05067153625,0.02969473169254529,-4.643901732680266,125.6567654426958
25118.8643150958,0.02112781056761853,-5.078646841570605,123.580853703605
27122.7257933203,0.03323075420302143,-5.533929319615218,121.5374081640135
29286.44564625236,0.03566441821535029,-6.007255550456331,119.556296962402
31622.7766016838,0.03865453995171338,-6.497912680457908,117.6546797414702
34145.488738336,0.04030502691353719,-7.004947647904853,115.8092141844557
36869.45064519575,0.04286783856380754,-7.525964699781431,114.0143590878918
39810.71705534974,0.04317506424378553,-8.059074368568591,112.3204777555233
42986.62347082276,0.0450078748608089,-8.60366526070529,110.6920594850354
46415.8883361278,0.05132026333933766,-9.159478615020831,109.1278946749805
50118.7233627272,0.04725228835028927,-9.719267973914578,107.6208350178659
54116.95265464637,0.05706571834938386,-10.28810149312312,106.2229013659213
58434.14133735179,0.060549192195389,-10.85877673719428,104.8758622797213
63095.73444801931,0.06273148665125976,-11.43351216273535,103.543306090191
68129.20690579613,0.06875575422055218,-12.01317577794565,102.3476727333117
73564.22544596417,0.07208719749865361,-12.58950225190437,101.1271871575127
79432.82347242814,0.06254907850393519,-13.16367942975688,100.0430742013307
85769.58985908944,0.07845690096077544,-13.73212353214057,98.93288230205377
92611.8728128793,0.08283997171071229,-14.30043028353373,97.88461236833777
100000,0.0832471915132291,-14.86464522734657,96.9021271349059
